SL.no.,Location,I.P.C.section/Severity,"Injured/
deaths",Cause,Lane,Between ,Season,Time of the day
24,Kalinga,"338(MAJOR)
279(vehicle damage)",1 injured,Over speeding,Right,"Motorcycle
X motorcycle",Summer,Afternoon
25,Kalinga,279(vehicle damage),_,While merging,Right,Truck x car,Summer,Noon 
26,Kalinga,338(MAJOR),1 injured,Over speeding,Left,Auto x auto,Rainy,Night
27,Kalinga,338(MAJOR),1 injured,Hit from back,Left,"Motorcycle
x truck",Winter,Night 
28,A to Z Medicals,"304 A(death)
337(minor)","1 death
1 injured",Road crossing,Right ,Car x pedestrian,Winter,twilight
29,Forrest office,338(MAJOR),1 injured,Hit from back,Right,Car x cycle,Winter,Night 
30,Forrest office,304 A(death),1 death,Road crossing,Right ,Car x pedestrian,Rainy,Night
31,Forrest office,"337
(minor)",1 injured,Road crossing,Left,"Motorcycle
X pedestrian",Rainy,Afternoon 
32,Wadepalli ‘X’ road,279(vehicle damage),_,Over speeding,Right,Car x car,Summer ,Night
33,Wadepalli ‘X’ road,"337
(minor)",1 injured,Lane crossing,Right,Car x motorcycle,Winter,Night 
34,"Redcross,
subedari",304 A(death),1 death,Road crossing,Right ,Car x pedestrian,Summer,Evening
35,"Redcross,
subedari",338(MAJOR),1 injured,Over speeding,Right,"Motorcycle
X motorcycle",Summer ,Night
36,Subedari bus stop,338(MAJOR),1 injured,"Road crossing
Over speeding",Right ,"Motorcycle
X pedestrian",Spring,Morning 
37,Collector office,338(MAJOR),1 injured,Over speeding,Left,Car x motorcycle,Summer,Morning
38,Collector office,338(MAJOR),1 injured,Road crossing,Right ,"Motorcycle
X pedestrian",Summer,Noon
39,Collector office,338(MAJOR),1 injured,Driving wrong side,Left,Car x motorcycle,Summer ,Twilight 
40,Collector office,304 A(death),1 death,Road crossing,Right ,"Motorcycle
X pedestrian",Rainy,Morning
41,Collector office,304 A(death),1 death,"Hit a pole,
Over speeding",Right,"Motorcycle
",Rainy,Evening
42,Collector office,279(vehicle damage),_,Over speeding,Right,Truck x car,Rainy,Night
43,Collector office,338(MAJOR),1 injured,Lane crossing,Left,"Motorcycle
X motorcycle",Winter,Noon
44,Collector office,338(MAJOR),2 injured,Over speeding,Right,Car x motorcycle,Winter,Night 
45,Arts college,338(MAJOR),1 injured,Over speeding,Right,Car x cycle,Rainy,Morning
46,Rohini hospital,304 A(death),1 death,Over speeding,Left,Car x motorcycle,Summer ,Twilight 
47,Rohini hospital,304 A(death),1 death,Road crossing,Right ,Mini truck x pedestrian,Rainy,Twilight
48,"DIG 
office","337
(minor)",1 injured,Road crossing,Left,Auto x pedestrian,Summer,Evening
49,Dolphin bakery,338(MAJOR),1 injured,Road crossing,Right ,Car x pedestrian,Summer,Night
50,Spencers ,338(MAJOR),1 injured,Hit from back,Left,"Motorcycle
X pedestrian",Rainy,Night
51,Adalat junction,338(MAJOR),1 injured,Road crossing,Left,"Motorcycle
X pedestrian",Winter,Night 
52,Adalat junction,338(MAJOR),1 injured,"Jumped signal,
Road crossing",Left,"Motorcycle
X pedestrian",Rainy,Night
53,A to Z bazaar,338(MAJOR),1 injured,Driving wrong side,Left,Car x pedestrian,Summer,Morning
54,"Adalat
2nd gate","337
(minor)",1 injured,Lane crossing,Left,"Motorcycle
X cycle",Summer ,Twilight 
55,"TMC,hanamkonda","337(minor)
279(vehicle damage)",1 injured,Over speeding,Left,Car x motorcycle,Rainy,Twilight
56,IOB Nakkalguta,338(MAJOR),1 injured,Over speeding,Left,"Motorcycle
X motorcycle",Summer,Afternoon
