SL.no.,Location,"I.P.C.section/
Severity","Injured/
deaths",Cause,Lane,Between ,Season,"Time of the 
day"
40,REC petrol pump,337(minor),1 injured,Hit from back,right,pedestrian  x  car,Winter,night
41,Forrest office,"279(vehicle 
Damage)",_,Hit from back,right,Car x car(parked),Winter,Afternoon
42,Forrest office,"338(major)
279(vehicle 
Damage)",2 injured,Driving wrong side,left,"Motorcycle
X truck",Spring,Afternoon
43,Forrest office,"337(minor)
279(vehicle 
Damage)
",2 injured,Hit from back,left,"Motorcycle
X  Motorcycle",Winter,midnight
44,Forrest office,"338(major)
279(vehicle 
Damage)",1 injured,Road crossing,left,Motorcycle X pedestrian,Rainy,morning
45,Forrest office,"338(major)
337(minor)
279(vehicle 
Damage)",2 injured,While turning left,right,"Motorcycle
  x  car",Winter,midnight
46,Wadepally ‘x’ road,304 A (death),1 death,Hit from back,left,"Motorcycle
X truck",Rainy,Evening 
47,Red cross building,"338(major)

",1 injured,Hit from back,right,pedestrian  x   Motorcycle,Rainy,morning
48,Collector office,"337(minor)
279(vehicle 
Damage)",1 injured,Road crossing,right,Motorcycle X auto,Winter,night
49,Collector office,"337(minor)
279(vehicle 
Damage)",1 injured,Hit from back,right,Minitruck x auto,Winter,morning
50,Collector office,337(minor),1 injured,Got hit,right,"Truck x pedestrian
(stationary)",Winter,Afternoon
51,Collector office,"337(minor)
279(vehicle 
Damage)",1 injured,Hit from back,right,"Motorcycle
X bus",Summer,night
52,Collector office,"279(vehicle 
Damage)",_,Hit from back,right,Car x truck,Rainy,night
53,Collector office,304 A (death),1 death,Drove over manhole,left,"Motorcycle
",Rainy,night
54,Arts college,338(major),1 injured,Hit from back,right,Auto x auto,Summer,afternoon
55,Rohini hospitals,"338(major)
",1 injured,Road crossing,left,Motorcycle X pedestrian,Rainy,morning
56,DIG bungalow,"279(vehicle 
Damage)",_,Hit from back,right,Car x truck,Winter,Afternoon
57,DIG bungalow,304 A (death),1 death,Road crossing,right,truck X pedestrian,Winter,morning
58,Dolphin bakery,"338(major)
",1 injured,Overspeeding,Left,pedestrian X   Motorcycle,Winter,morning
59,Adalat,"279(vehicle 
Damage)",_,Hit from left,Left,Car x car,Winter,midnight
60,Adalat,"338(major)
337(minor)",2 injured,Jumped signal,Right,"Motorcycle
X auto",Summer,afternoon
61,Adalat,338(major),1 injured,Hit from back,left,"Motorcycle
X car",Summer,night
62,Adalat,337(minor),1 injured,Hit from back,left,"Motorcycle X pedestrian

",Summer,night
63,Adalat,"337(minor)
279(vehicle 
Damage)",1 injured,Hit from back,left,Motorcycle X milk tanker,Summer,night
64,Adalat,338(major),1 injured,Hit from back,right,Motorcycle  x truck,Rainy,night
65,Adalat,"338(major)
337(minor)
279(vehicle 
Damage)",3 injured,Hit from left,Left,"Motorcycle
X auto",Winter,midnight
66,SBH Nakkalgutta,337(minor),1 injured,Road crossing,left,Motorcycle X  Motorcycle,Summer,afternoon
67,IOB nakkalgutta,338(major),2 injured,Hit from back,right,Motorcycle X pedestrian,Summer,night
68,IOB nakkalgutta,338(major),1 injured,Hit from back,right,Motorcycle X pedestrian,Rainy,morning
69,Ambedkar junction,337(minor),1 injured,Hit median,Left,Auto,Winter,Twilight 
70,Ambedkar junction,337(minor),1 injured,Hit from right,right,Motorcycle X car,Winter,night
71,Ambedkar junction,338(major),1 injured,Front axle broke,right,Auto,Summer,night
72,Ambedkar junction,337(minor),1 injured,Road crossing,left,Motorcycle X  car,Summer,morning
73,Ambedkar junction,338(major),1 injured,Hit from back,Left,"Motorcycle
X auto",Rainy,afternoon
74,Ambedkar junction,338(major),1 injured,Hit from back,right,car X pedestrian,Winter,morning
